Vauxhall Underground Station entrance 1,51.486316,-0.124584
Vauxhall Underground Station entrance 2,51.485842,-0.123638
Vauxhall Underground Station entrance 3,51.485998,-0.123272
Vauxhall Underground Station entrance 4,51.485597,-0.124628
Vauxhall Underground Station entrance 5,51.485171,-0.124386
Vauxhall Underground Station entrance 6,51.485692,-0.12327
White City Underground Station entrance 1,51.511966,-0.224743
West Finchley Underground Station entrance 1,51.609583,-0.18863
West Finchley Underground Station entrance 2,51.608173,-0.188166
West Hampstead Underground Station entrance 1,51.546773,-0.191025
West Harrow Underground Station entrance 1,51.580147,-0.353124
West Harrow Underground Station entrance 2,51.579911,-0.352988
Willesden Green Underground Station entrance 1,51.549244,-0.220941
Willesden Green Underground Station entrance 2,51.549051,-0.221237
Wimbledon Park Underground Station entrance 1,51.434625,-0.199616
Warwick Avenue Underground Station entrance 1,51.52336,-0.183664
Warwick Avenue Underground Station entrance 2,51.523133,-0.184149
West Kensington Underground Station entrance 1,51.490705,-0.206857
Wood Lane Underground Station entrance 1,51.509669,-0.224501
Waterloo Underground Station entrance 1,51.503814,-0.113289
Waterloo Underground Station entrance 4,51.503585,-0.115273
